Name,UID,Code,Parent UID,Short name,Description,UUID,Opening date,Closed date,Comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
Kalar Pyin,,,iXWQud0Kxo1,Kalar Pyin,,,,,,,,,,,,
Kyein Tali,,,iXWQud0Kxo1,Kyein Tali,,,,,,,,,,,,
Sat Thwar,,,iXWQud0Kxo1,Sat Thwar,,,,,,,,,,,,
Taung Pauk,,,iXWQud0Kxo1,Taung Pauk,,,,,,,,,,,,
Kin Maw,,,kqBYGU7QcPk,Kin Maw,,,,,,,,,,,,
Kyauk Gyi,,,kqBYGU7QcPk,Kyauk Gyi,,,,,,,,,,,,
Lin Thar,,,kqBYGU7QcPk,Lin Thar,,,,,,,,,,,,
Pu Zun Hpay,,,kqBYGU7QcPk,Pu Zun Hpay,,,,,,,,,,,,
Shwe Hlaw,,,kqBYGU7QcPk,Shwe Hlaw,,,,,,,,,,,,
Shwe Hlay,,,kqBYGU7QcPk,Shwe Hlay,,,,,,,,,,,,
Sin Din Lay,,,kqBYGU7QcPk,Sin Din Lay,,,,,,,,,,,,
Ywar Shay,,,kqBYGU7QcPk,Ywar Shay,,,,,,,,,,,,
Za Lun,,,kqBYGU7QcPk,Za Lun,,,,,,,,,,,,
Ah Shey Bet RHC/MC,,,D0k29xU4EzD,Ah Shey Bet RHC/MC,,,,,,,,,,,,
Kin Taung MC,,,D0k29xU4EzD,Kin Taung MC,,,,,,,,,,,,
La Mu RHC/MC,,,D0k29xU4EzD,La Mu RHC/MC,,,,,,,,,,,,
Ma Ei MC,,,D0k29xU4EzD,Ma Ei MC,,,,,,,,,,,,
MCH (Myo Ma),,,D0k29xU4EzD,MCH (Myo Ma),,,,,,,,,,,,
Nyaung Pin Seik RHC /MC,,,D0k29xU4EzD,Nyaung Pin Seik RHC /MC,,,,,,,,,,,,
Sar Pyin RHC/MC,,,D0k29xU4EzD,Sar Pyin RHC/MC,,,,,,,,,,,,
Ywar Ma MC,,,D0k29xU4EzD,Ywar Ma MC,,,,,,,,,,,,
Myin Thar,,,RaJQB6DkYET,Myin Thar,,,,,,,,,,,,
Namt Taw,,,RaJQB6DkYET,Namt Taw,,,,,,,,,,,,
Nant Thar,,,RaJQB6DkYET,Nant Thar,,,,,,,,,,,,
Nat Nan,,,RaJQB6DkYET,Nat Nan,,,,,,,,,,,,
Naung Po Aung,,,RaJQB6DkYET,Naung Po Aung,,,,,,,,,,,,
Naung San Kyin,,,RaJQB6DkYET,Naung San Kyin,,,,,,,,,,,,
Tat Khat,,,RaJQB6DkYET,Tat Khat,,,,,,,,,,,,
Kyaung Lawe S/H,,,wZdPW4S9k7N,Kyaung Lawe S/H,,,,,,,,,,,,
Man Hton-RHC,,,wZdPW4S9k7N,Man Hton-RHC,,,,,,,,,,,,
Man Si- RHC,,,wZdPW4S9k7N,Man Si- RHC,,,,,,,,,,,,
Man Thon -RHC,,,wZdPW4S9k7N,Man Thon -RHC,,,,,,,,,,,,
Nan Zarr-RHC,,,wZdPW4S9k7N,Nan Zarr-RHC,,,,,,,,,,,,
Nar Maw-RHC,,,wZdPW4S9k7N,Nar Maw-RHC,,,,,,,,,,,,
Thin Gan Tar-RHC,,,wZdPW4S9k7N,Thin Gan Tar-RHC,,,,,,,,,,,,
Jone Jone Kya,,,EvXGsco2bR1,Jone Jone Kya,,,,,,,,,,,,
Man Hal,,,EvXGsco2bR1,Man Hal,,,,,,,,,,,,
Maw Lue SHU,,,EvXGsco2bR1,Maw Lue SHU,,,,,,,,,,,,
Maw Tape,,,EvXGsco2bR1,Maw Tape,,,,,,,,,,,,
Mel Zar,,,EvXGsco2bR1,Mel Zar,,,,,,,,,,,,
MCH Main,,,FnYmZpL8tzi,MCH Main,,,,,,,,,,,,
Mi Kyaung Inn,,,FnYmZpL8tzi,Mi Kyaung Inn,,,,,,,,,,,,
Myay Lin,,,FnYmZpL8tzi,Myay Lin,,,,,,,,,,,,
Naung Kan,,,FnYmZpL8tzi,Naung Kan,,,,,,,,,,,,
Tone Moon,,,FnYmZpL8tzi,Tone Moon,,,,,,,,,,,,
Chin Pyit,,,bwQtI7gbDr0,Chin Pyit,,,,,,,,,,,,
Min Taing Pin,,,bwQtI7gbDr0,Min Taing Pin,,,,,,,,,,,,
Wet Kya,,,bwQtI7gbDr0,Wet Kya,,,,,,,,,,,,
Kyauk Me Taung,,,DgG7t0JBrZN,Kyauk Me Taung,,,,,,,,,,,,
Maung Mei Shaung,,,DgG7t0JBrZN,Maung Mei Shaung,,,,,,,,,,,,
Pa Kar Ri,,,DgG7t0JBrZN,Pa Kar Ri,,,,,,,,,,,,
Auk Yae Hpyu,,,OMpXPxcljaF,Auk Yae Hpyu,,,,,,,,,,,,
Inn Zauk,,,OMpXPxcljaF,Inn Zauk,,,,,,,,,,,,
Maung Ma Kan,,,OMpXPxcljaF,Maung Ma Kan,,,,,,,,,,,,
Myo Haung,,,OMpXPxcljaF,Myo Haung,,,,,,,,,,,,
Tha Kyet Taw,,,OMpXPxcljaF,Tha Kyet Taw,,,,,,,,,,,,
Tha Pyay Shaung,,,OMpXPxcljaF,Tha Pyay Shaung,,,,,,,,,,,,
Nyaung Zin,,,YMnokOvEdh9,Nyaung Zin,,,,,,,,,,,,
Pae Det,,,YMnokOvEdh9,Pae Det,,,,,,,,,,,,
Pyin Hpyu Gyi,,,YMnokOvEdh9,Pyin Hpyu Gyi,,,,,,,,,,,,
Saw Hpyar,,,YMnokOvEdh9,Saw Hpyar,,,,,,,,,,,,
Yangae,,,YMnokOvEdh9,Yangae,,,,,,,,,,,,
Hpaung Taw,,,QlUsAQHgB27,Hpaung Taw,,,,,,,,,,,,
Ka Laing Aung,,,QlUsAQHgB27,Ka Laing Aung,,,,,,,,,,,,
Kan Pauk,,,QlUsAQHgB27,Kan Pauk,,,,,,,,,,,,
Nabulel,,,QlUsAQHgB27,Nabulel,,,,,,,,,,,,
Rar Hpu,,,QlUsAQHgB27,Rar Hpu,,,,,,,,,,,,
Bokpyin,,,t7lBrqkSQom,Bokpyin,,,,,,,,,,,,
Chaung Ka Hpee,,,t7lBrqkSQom,Chaung Ka Hpee,,,,,,,,,,,,
Pyin Gyi Mandin,,,t7lBrqkSQom,Pyin Gyi Mandin,,,,,,,,,,,,
Chaung Ka Phee (Bokpyin),,,H9nKLkyoBDb,Chaung Ka Phee (Bokpyin),,,,,,,,,,,,
Kam Po Mar Tan,,,H9nKLkyoBDb,Kam Po Mar Tan,,,,,,,,,,,,
Mar Ran,,,H9nKLkyoBDb,Mar Ran,,,,,,,,,,,,
Sa Lone,,,H9nKLkyoBDb,Sa Lone,,,,,,,,,,,,
Se Maing,,,H9nKLkyoBDb,Se Maing,,,,,,,,,,,,
Ka Tan,,,N3W9LFc0eSr,Ka Tan,,,,,,,,,,,,
Nyaung Bee,,,N3W9LFc0eSr,Nyaung Bee,,,,,,,,,,,,
Oke Pho Maw,,,N3W9LFc0eSr,Oke Pho Maw,,,,,,,,,,,,
Tar Ya Paing,,,N3W9LFc0eSr,Tar Ya Paing,,,,,,,,,,,,
Yay Kan Aw,,,N3W9LFc0eSr,Yay Kan Aw,,,,,,,,,,,,
Yae Kan Taung,,,JDO6CqoSxAP,Yae Kan Taung,,,,,,,,,,,,
In Ga Maw,,,JDO6CqoSxAP,In Ga Maw,,,,,,,,,,,,
Khon Maw,,,JDO6CqoSxAP,Khon Maw,,,,,,,,,,,,
Min Than,,,JDO6CqoSxAP,Min Than,,,,,,,,,,,,
Tha But,,,JDO6CqoSxAP,Tha But,,,,,,,,,,,,
Tha Moke,,,JDO6CqoSxAP,Tha Moke,,,,,,,,,,,,
Khan Ti,,,ie0tVQvDTUH,Khan Ti,,,,,,,,,,,,
Kyauk Lone Gyi,,,ie0tVQvDTUH,Kyauk Lone Gyi,,,,,,,,,,,,
Pa La SHU,,,ie0tVQvDTUH,Pa La SHU,,,,,,,,,,,,
Palauk,,,ie0tVQvDTUH,Palauk,,,,,,,,,,,,
Pu Law Kone,,,ie0tVQvDTUH,Pu Law Kone,,,,,,,,,,,,
Shat Pon,,,ie0tVQvDTUH,Shat Pon,,,,,,,,,,,,
Maw Taung SHU,,,ioFad0h7m6L,Maw Taung SHU,,,,,,,,,,,,
Maw Tone,,,ioFad0h7m6L,Maw Tone,,,,,,,,,,,,
Nyaung Pin Kwin,,,ioFad0h7m6L,Nyaung Pin Kwin,,,,,,,,,,,,
Ta Gu,,,ioFad0h7m6L,Ta Gu,,,,,,,,,,,,
Thein Daw,,,ioFad0h7m6L,Thein Daw,,,,,,,,,,,,
